FA_year,name,team,position,contractValue,contractDuration,avg_war,avg_games,avg_pa/ip,avg_k,avg_b,avg_babip,OPS/FIP,age,BirthPlace,experience,college
2017,Eric Hosmer,Padres,1B,"$144,000,000",8,2.6,159.3,668.3,17.2,9.1,0.3,0.8,28,"South Miami, FL",6,None
2017,Yu Darvish,Cubs,P,"$126,000,000",6,3.2,24.0,143.2,10.9,2.7,0.3,3.5,31,"Osaka, Japan",4,None
2017,J.D. Martinez,Red Sox,OF,"$110,000,000",5,3.7,132.3,554.3,26.0,9.9,0.3,1.0,30,"Miami, FL",6,Nova Southeastern
2017,Lorenzo Cain,Brewers,OF,"$80,000,000",5,4.2,132.7,561.0,17.0,7.2,0.3,0.8,31,"Valdosta, GA",7,Tallahassee CC FL
2017,Jake Arrieta,Phillies,P,"$75,000,000",3,4.5,31.3,198.1,8.9,2.8,0.3,3.3,31,"Farmington, MO",7,TCU
2017,Carlos Santana,Phillies,1B,"$60,000,000",3,2.8,155.3,673.7,15.6,14.6,0.3,0.8,31,"Santo Domingo, Dominican Republic",7,None
2017,Alex Cobb,Orioles,P,"$57,000,000",4,1.1,17.0,100.5,6.5,2.5,0.3,4.9,30,"Boston, MA",4,None
2017,Wade Davis,Rockies,P,"$52,000,000",3,1.5,57.7,56.1,10.8,3.4,0.3,2.7,32,"Lake Wales, FL",8,None
2017,Jay Bruce,Mets,OF,"$39,000,000",3,1.0,150.0,618.3,22.1,8.8,0.3,0.8,30,"Beaumont, TX",9,None
2017,Tyler Chatwood,Cubs,P,"$38,000,000",3,1.6,30.0,152.6,7.0,4.3,0.3,4.6,27,"Redlands, CA",5,None
2017,Zack Cozart,Angels,3B,"$38,000,000",3,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,32,"Memphis, TN",6,Ole Miss
2017,Mike Minor,Rangers,P,"$28,000,000",3,2.2,65.0,77.2,10.2,2.5,0.3,2.6,29,"Chapel Hill, TN",5,Vanderbilt
2017,Jake McGee,Rockies,P,"$27,000,000",3,0.8,52.7,46.5,9.4,2.5,0.3,3.5,31,"San Jose, CA",7,None
2017,Bryan Shaw,Rockies,P,"$27,000,000",3,0.7,76.0,68.8,8.5,3.0,0.3,3.6,30,"Livermore, CA",6,Long Beach State
2017,Brandon Morrow,Cubs,P,"$21,000,000",2,0.7,22.7,30.7,7.0,1.8,0.3,3.1,33,"Santa Rosa, CA",10,California
2017,Tommy Hunter,Phillies,P,"$18,000,000",2,0.7,50.7,50.3,7.3,2.1,0.3,3.5,31,"Arlington, TX",9,Alabama
2017,Todd Frazier,Mets,3B,"$17,000,000",2,3.4,154.0,640.0,22.1,11.2,0.2,0.8,31,"Toms River, NJ",6,Rutgers
2017,Juan Nicasio,Mariners,P,"$17,000,000",2,1.3,60.3,82.7,9.1,2.5,0.2,2.8,31,"San Francisco de Macoris, Dominican Republic",6,None
2017,Addison Reed,Twins,P,"$16,750,000",2,1.4,70.7,69.5,9.2,2.3,0.3,3.1,28,"Montclair, CA",6,San Diego State
